s,n,i,m
TZOO,Travelzoo,Advertising Agencies,133472680
U,Unity Software,Software - Application,15320502033
UA,Under Armour,Apparel Manufacturing,3147081065
UAA,Under Armour,Apparel Manufacturing,3144984003
UAL,United Airlines Holdings,Airlines,18166202467
UAMY,United States Antimony,Other Industrial Metals & Mining,36698685
UAN,CVR Partners,Agricultural Inputs,885204000
UAVS,AgEagle Aerial Systems,Computer Hardware,24307002
UBA,Urstadt Biddle Properties,REIT - Retail,828443012
UBCP,United Bancorp,Banks - Regional,68226098
UBER,Uber Technologies,Software - Application,86842545987
UBFO,United Security Bancshares,Banks - Regional,115386525
UBP,Urstadt Biddle Properties,REIT - Retail,828376928
UBS,UBS Group AG,Banks - Diversified,64121651277
UBSI,United Bankshares,Banks - Regional,3829426920
UBX,Unity Biotechnology,Biotechnology,42376750
UCAR,U Power,Auto & Truck Dealerships,341217528
UCBI,United Community Banks,Banks - Regional,2997225477
UCL,uCloudlink Group,Telecom Services,98764047
UCTT,Ultra Clean Holdings,Semiconductor Equipment & Materials,1604672560
UDMY,Udemy,Education & Training Services,1539669834
UDR,UDR,REIT - Residential,23445729240
UE,Urban Edge Properties,REIT - Diversified,1911265262
UEC,Uranium Energy,Uranium,1264725446
UEIC,Universal Electronics,Consumer Electronics,133459812
UFAB,Unique Fabricating,Auto Parts,2562509
UFCS,United Fire Group,Insurance - Property & Casualty,578691289
UFI,Unifi,Textile Manufacturing,140296674
UFPI,UFP Industries,Lumber & Wood Production,5680505488
UFPT,UFP Technologies,Medical Devices,1401545794
UG,United-Guardian,Household & Personal Products,37903140
UGI,UGI Corporation,Utilities - Regulated Gas,5432061600
UGP,Ultrapar Participações,Oil & Gas Refining & Marketing,4281577674
UGRO,urban-gro,Farm & Heavy Construction Machinery,20783340
UHAL,U-Haul Holding Company,Rental & Leasing Services,9935720278
UHG,United Homes Group,Residential Construction,396041279.96
UHS,Universal Health Services,Medical Care Facilities,10594372498
UHT,Universal Health Realty Income Trust,REIT - Healthcare Facilities,656799078
UI,Ubiquiti,Communication Equipment,10730819418
UIHC,United Insurance Holdings,Insurance - Property & Casualty,171418896
UIS,Unisys,Information Technology Services,255989640
UK,Ucommune International,Real Estate Services,2752597
UL,Unilever,Household & Personal Products,128495037281
ULBI,Ultralife,Electrical Equipment & Parts,79424544
ULCC,Frontier Group Holdings,Airlines,2255095357
ULH,Universal Logistics Holdings,Trucking,788640000
ULTA,Ulta Beauty,Specialty Retail,23487928608
UMBF,UMB Financial,Banks - Regional,2917325246
UMC,United Microelectronics,Semiconductors,19379882624
UMH,UMH Properties,REIT - Residential,984029819
UNB,Union Bankshares,Banks - Regional,100606061
UNCY,Unicycive Therapeutics,Biotechnology,19956278
UNF,UniFirst,Specialty Business Services,2834197340
UNFI,United Natural Foods,Food Distribution,1149747696
UNH,UnitedHealth Group,Healthcare Plans,429745750560
UNIT,Uniti Group,REIT - Specialty,1169007661
UNM,Unum Group,Insurance - Life,9658351298
UNP,Union Pacific,Railroads,123658335032
UNTY,Unity Bancorp,Banks - Regional,234195636
UNVR,Univar Solutions,Chemicals,5655157963
UONE,Urban One,Broadcasting,293262548
UONEK,Urban One,Broadcasting,291272523
UP,Wheels Up Experience,Airports & Air Services,30193680
UPBD,Upbound Group,Software - Application,1703638862.13
UPC,Universe Pharmaceuticals INC,Drug Manufacturers - Specialty & Generic,7634250
UPH,UpHealth,Health Information Services,28701495
UPLD,Upland Software,Software - Application,139171890
UPS,United Parcel Service,Integrated Freight & Logistics,154393357067
UPST,Upstart Holdings,Credit Services,3034025700
UPTD,TradeUP Acquisition,Shell Companies,25396128
UPWK,Upwork,Staffing & Employment Services,1217219040
UPXI,Upexi,Internet Content & Information,39355973
URBN,Urban Outfitters,Apparel Retail,3086836740
URG,Ur-Energy,Uranium,251040622
URGN,UroGen Pharma,Biotechnology,275346438
URI,United Rentals,Rental & Leasing Services,29799786384
UROY,Uranium Royalty,Uranium,191351808
USAC,USA Compression Partners,Oil & Gas Equipment & Services,1955326240
USAP,Universal Stainless & Alloy Products,Steel,132195175
USAS,Americas Gold and Silver,Other Industrial Metals & Mining,71906663
USAU,U.S. Gold,Gold,40429466
USB,U.S. Bancorp,Banks - Regional,51414138947
USCB,USCB Financial Holdings,Banks - Regional,213295488
USCT,TKB Critical Technologies 1,Shell Companies,117837020
USDP,USD Partners LP,Railroads,33417638
USEA,United Maritime,Marine Shipping,24011299
USEG,U.S. Energy,Oil & Gas E&P,37704124
USFD,US Foods Holding,Food Distribution,10287087000
USGO,U.S. GoldMining,Other Industrial Metals & Mining,123718737.6
USIO,Usio,Information Technology Services,47749500
USLM,United States Lime & Minerals,Building Materials,1121049943
USM,United States Cellular,Telecom Services,1577458433
USNA,USANA Health Sciences,Packaged Foods,1196102436
USPH,U.S. Physical Therapy,Medical Care Facilities,1695772796
UTAA,UTA Acquisition,Shell Companies,304749989
UTHR,United Therapeutics,Biotechnology,9924720190
UTI,Universal Technical Institute,Education & Training Services,234718185
UTL,Unitil,Utilities - Diversified,803325870
UTMD,Utah Medical Products,Medical Instruments & Supplies,339006861
UTME,United Time Technology Co.,Consumer Electronics,16948970
UTRS,Minerva Surgical,Health Information Services,45271552
UTSI,UTStarcom Holdings,Communication Equipment,31614021
UTZ,Utz Brands,Packaged Foods,1286869734
UUU,Universal Security Instruments,Security & Protection Services,5712838
UUUU,Energy Fuels,Uranium,929210473
UVE,Universal Insurance Holdings,Insurance - Property & Casualty,438031600
UVSP,Univest Financial,Banks - Regional,524431908
UVV,Universal,Tobacco,1216898312
UWMC,UWM Holdings,Mortgage Finance,16012731327
UXIN,Uxin Limited,Auto & Truck Dealerships,79348542
V,Visa Inc.,Credit Services,491146864470
VABK,Virginia National Bankshares,Banks - Regional,165486823
VAC,Marriott Vacations Worldwide,Resorts & Casinos,4586020851
VACC,Vaccitech,Biotechnology,88634238
VAL,Valaris,Oil & Gas Equipment & Services,5007819732
VALE,Vale S.A.,Other Industrial Metals & Mining,58566443930
VALN,Valneva SE,Biotechnology,991180381
VALU,Value Line,Financial Data & Stock Exchanges,428996187
VANI,Vivani Medical,Medical Devices,62476374
VAPO,Vapotherm,Medical Devices,18488040
VAQC,Vector Acquisition Corporation II,Shell Companies,167119904
VATE,INNOVATE,Engineering & Construction,140707932
VAXX,Vaxxinity,Biotechnology,298634412
VBFC,Village Bank and Trust Financial,Banks - Regional,64632735
VBIV,VBI Vaccines,Biotechnology,11363273
VBLT,Vascular Biogenics,Biotechnology,18689575
VBNK,VersaBank,Banks - Regional,193804668
VBOC,Viscogliosi Brothers Acquisition,Shell Companies,112879164
VBTX,Veritex Holdings,Banks - Regional,976464000
VC,Visteon,Auto Parts,4201679395
VCEL,Vericel,Biotechnology,1699969526
VCIG,VCI Global,Consulting Services,167478220
VCNX,Vaccinex,Biotechnology,23460865
VCSA,Vacasa,Software - Application,300146728
VCTR,Victory Capital Holdings,Asset Management,2122403835
VCXA,10X Capital Venture Acquisition Corp. II,Shell Companies,96961329
VCXB,10X Capital Venture Acquisition Corp. III,Shell Companies,159392416
VCYT,Veracyte,Biotechnology,1717011812
VECO,Veeco Instruments,Semiconductor Equipment & Materials,1252521390
VECT,VectivBio Holding AG,Biotechnology,1058281100
VEDU,Visionary Education Technology Holdings Group,Education & Training Services,16779375
VEEE,Twin Vee Powercats Co.,Recreational Vehicles,20277600
VEEV,Veeva Systems,Health Information Services,31182795853
VEL,Velocity Financial,Mortgage Finance,367755072
VEON,VEON Ltd.,Telecom Services,1368517434
VERA,Vera Therapeutics,Biotechnology,707292378
VERB,Verb Technology Company,Software - Application,5103791
VERI,Veritone,Software - Infrastructure,143248472
VERO,Venus Concept,Medical Devices,10682160
VERU,Veru Inc.,Biotechnology,100837476
VERV,Verve Therapeutics,Biotechnology,1156861740
VERX,Vertex,Software - Application,2734485413
VERY,Vericity,Insurance - Life,92225000
VET,Vermilion Energy,Oil & Gas E&P,2132732000
VEV,Vicinity Motor,Auto Manufacturers,40023172
VFC,V.F. Corporation,Apparel Manufacturing,7253459071
VFF,Village Farms International,Farm Products,67907224
VGAS,Verde Clean Fuels,Utilities - Renewable,53344134
VGR,Vector Group,Tobacco,2014680303
VGZ,Vista Gold,Gold,62647616
VHAQ,Viveon Health Acquisition,Shell Companies,75842501
VHC,VirnetX Holding,Software - Infrastructure,34626646
VHI,Valhi,Chemicals,381490455
VHNA,Vahanna Tech Edge Acquisition I,Shell Companies,266633250
VIA,Via Renewables,Utilities - Regulated Electric,47580835
VIAO,VIA optronics AG,Electronic Components,53462260
VIAV,Viavi Solutions,Communication Equipment,2529245039
VICI,VICI Properties,REIT - Diversified,31260746000
VICR,Vicor,Electronic Components,2356094783
VIEW,View,Building Products & Equipment,33148246
VIGL,Vigil Neuroscience,Biotechnology,347929725
VII,7GC & Co. Holdings,Shell Companies,113681390
VINC,Vincerx Pharma,Biotechnology,28894288
VINE,Fresh Vine Wine,Beverages - Wineries & Distilleries,6382232
VINO,Gaucho Group Holdings,Real Estate - Diversified,3509411
VINP,Vinci Partners Investments,Asset Management,536269186
VIOT,Viomi Technology,Furnishings,63579278
VIPS,Vipshop Holdings,Internet Retail,9082173801
VIR,Vir Biotechnology,Biotechnology,3080131230
VIRC,Virco Mfg.,Furnishings,64681890
VIRI,Virios Therapeutics,Biotechnology,26579080
VIRT,Virtu Financial,Capital Markets,2787748967
VIRX,Viracta Therapeutics,Biotechnology,52238824
VISL,Vislink Technologies,Communication Equipment,13928558
VIST,Vista Energy,Oil & Gas E&P,2233848271
VITL,Vital Farms,Farm Products,463620260
VIV,Telefônica Brasil,Telecom Services,14607821560
VIVK,Vivakor,Oil & Gas E&P,18968040
VJET,voxeljet AG,Computer Hardware,15878884
VKTX,Viking Therapeutics,Biotechnology,1535529972
VLCN,Volcon,Auto Manufacturers,20261073
VLD,Velo3D,Computer Hardware,381163876
VLGEA,Village Super Market,Grocery Stores,338447016
VLN,Valens Semiconductor,Semiconductors,255980000
VLO,Valero Energy,Oil & Gas Refining & Marketing,41531072041
VLRS,Controladora Vuela Compañía de Aviación,Airlines,1558207040
VLY,Valley National Bancorp,Banks - Regional,3915716312
VMAR,Vision Marine Technologies,Recreational Vehicles,37319709
VMC,Vulcan Materials Company,Building Materials,28924365420
VMCA,Valuence Merger I,Shell Companies,294658875
VMD,Viemed Healthcare,Medical Devices,359032632
VMEO,Vimeo,Software - Application,639933991
VMI,Valmont Industries,Conglomerates,6047551202
VMW,VMware,Software - Infrastructure,60852338400
VNCE,Vince Holding,Apparel Manufacturing,36019398
VNDA,Vanda Pharmaceuticals,Biotechnology,375109973
VNET,VNET Group,Information Technology Services,402304920
VNO,Vornado Realty Trust,REIT - Office,3814107963
VNOM,Viper Energy Partners LP,Oil & Gas Midstream,4146284368
VNRX,VolitionRx,Diagnostics & Research,105128124
VNT,Vontier,Scientific & Technical Instruments,4959577785
VOC,VOC Energy Trust,Oil & Gas E&P,142290000
VOD,Vodafone Group,Telecom Services,24672789176
VOR,Vor Biopharma,Biotechnology,184131200
VOXR,Vox Royalty,Other Precious Metals & Mining,114120240
VOXX,VOXX International,Consumer Electronics,291445536
VOYA,Voya Financial,Financial Conglomerates,7019447815
VPG,Vishay Precision Group,Scientific & Technical Instruments,487964376
VQS,VIQ Solutions,Software - Application,12740658
VRA,Vera Bradley,Footwear & Accessories,189202860
VRAR,The Glimpse Group,Software - Infrastructure,54482532
VRAX,Virax Biolabs Group,Biotechnology,6744681
VRAY,ViewRay,Medical Devices,64209040
VRCA,Verrica Pharmaceuticals,Biotechnology,258645978
VRDN,Viridian Therapeutics,Biotechnology,1006710216
VRE,Veris Residential,REIT - Residential,1646488580
VREX,Varex Imaging,Medical Devices,921524000
VRM,Vroom,Auto & Truck Dealerships,247117400
VRME,VerifyMe,Security & Protection Services,13054991
VRNA,Verona Pharma,Biotechnology,1582811328
VRNS,Varonis Systems,Software - Infrastructure,2878457820
VRNT,Verint Systems,Software - Infrastructure,2211452160
VRPX,Virpax Pharmaceuticals,Biotechnology,12182872
VRRM,Verra Mobility,Infrastructure Operations,2974753760
VRSK,Verisk Analytics,Consulting Services,32573633070
VRSN,VeriSign,Software - Infrastructure,23156155200
VRT,Vertiv Holdings Co,Electrical Equipment & Parts,9360492400
VRTS,Virtus Investment Partners,Asset Management,1408485233
VRTV,Veritiv,Conglomerates,1687906360
VRTX,Vertex Pharmaceuticals,Biotechnology,87098935360
VS,Versus Systems,Software - Application,4708891
VSAC,Vision Sensing Acquisition,Shell Companies,49198128
VSAT,Viasat,Communication Equipment,5197316160
VSCO,Victoria's Secret & Co.,Apparel Retail,1497467835
VSEC,VSE Corporation,Aerospace & Defense,672772839
VSH,Vishay Intertechnology,Semiconductors,3982333877
VST,Vistra,Utilities - Independent Power Producers,9959821114
VSTA,Vasta Platform,Education & Training Services,290104652
VSTM,Verastem,Biotechnology,201830400
VSTO,Vista Outdoor,Leisure,1589349663
VTEX,VTEX,Software - Application,871507940
VTGN,VistaGen Therapeutics,Biotechnology,13305838
VTLE,Vital Energy,Oil & Gas E&P,866796848
VTMX,Vesta Real Estate,REIT - Industrial,2871929457.27
VTNR,Vertex Energy,Oil & Gas Refining & Marketing,596673946
VTOL,Bristow Group,Oil & Gas Equipment & Services,820360178
VTR,Ventas,REIT - Healthcare Facilities,19162490800
VTRS,Viatris,Drug Manufacturers - Specialty & Generic,11822435958
VTRU,Vitru,Education & Training Services,527130240
VTS,Vitesse Energy,Oil & Gas E&P,635362195
VTSI,VirTra,Aerospace & Defense,89470017
VTVT,vTv Therapeutics,Biotechnology,59075610
VTYX,Ventyx Biosciences,Biotechnology,2045981580
VUZI,Vuzix,Consumer Electronics,305348253
VVI,Viad Corp,Specialty Business Services,558335120
VVOS,Vivos Therapeutics,Medical Devices,15413332
VVPR,VivoPower International,Solar,16106326
VVV,Valvoline,Oil & Gas Refining & Marketing,5191788749
VVX,V2X,Aerospace & Defense,1500956891
VWE,Vintage Wine Estates,Beverages - Wineries & Distilleries,52099818
VXRT,Vaxart,Biotechnology,109149834
VYGR,Voyager Therapeutics,Biotechnology,445369188
VYNE,VYNE Therapeutics,Biotechnology,13313782
VZ,Verizon Communications,Telecom Services,150923241574
VZIO,VIZIO Holding,Consumer Electronics,1372220467
VZLA,Vizsla Silver,Other Industrial Metals & Mining,240980720
W,Wayfair,Internet Retail,6919370927
WAB,Westinghouse Air Brake Technologies,Railroads,19720946800
WABC,Westamerica Bancorporation,Banks - Regional,1060868823
WAFD,Washington Federal,Banks - Regional,1752046286
WAFU,Wah Fu Education Group,Education & Training Services,9768176
WAL,Western Alliance Bancorporation,Banks - Regional,4119427620
WALD,Waldencast,Software - Application,743274164
WASH,Washington Trust Bancorp,Banks - Regional,451689568
WAT,Waters,Diagnostics & Research,15593725440
WATT,Energous,Scientific & Technical Instruments,21835206
WAVC,Waverley Capital Acquisition Corp. 1,Shell Companies,278525756
WAVD,WaveDancer,Information Technology Services,5525637
WAVE,Eco Wave Power Global AB (publ),Utilities - Renewable,16204131
WAVS,Western Acquisition Ventures,Shell Companies,41941325
WB,Weibo,Internet Content & Information,3138515247
WBA,Walgreens Boots Alliance,Pharmaceutical Retailers,25120894867
WBD,Warner Bros. Discovery,Entertainment,30548820403
WBS,Webster Financial,Banks - Regional,6790590389
WBX,Wallbox,Electronic Components,702936188
WCC,WESCO International,Industrial Distribution,9147473202
WCN,Waste Connections,Waste Management,35748910490
WD,Walker & Dunlop,Mortgage Finance,2668907025
WDAY,Workday,Software - Application,57088531750
WDC,Western Digital,Computer Hardware,12052026489
WDFC,WD-40 Company,Specialty Chemicals,2576931808
WDH,Waterdrop,Insurance - Diversified,822009008
WDS,Woodside Energy Group,Oil & Gas E&P,43956061389
WE,WeWork,Real Estate Services,194206600
WEAV,Weave Communications,Software - Application,706576449
WEC,WEC Energy Group,Utilities - Regulated Electric,28067407012
WEL,Integrated Wellness Acquisition,Shell Companies,153812489
WELL,Welltower,REIT - Healthcare Facilities,39668044748
WEN,The Wendy's Company,Restaurants,4492891520
WERN,Werner Enterprises,Trucking,2745487308
WES,Western Midstream Partners,Oil & Gas Midstream,10365374466
WEST,Westrock Coffee Company,Packaged Foods,814233578
